ticker,MDS1,MDS2
CAG,0.19163627399281935,0.604975639873645
CAH,6.156280256989312,-0.13392225792622472
CARR,0.40716623314820094,0.5076606758754191
CASY,1.4232162545582079,1.7276434515379466
CAT,0.7125603356803812,-0.17743618093921826
CB,0.24916152120443466,-0.2223077771787737
CBOE,-0.7995389714862663,0.6971187333951213
CBRE,1.2672086466548427,0.7712089510382732
CCI,2.1093460082857844,-3.2988825242582522
CCL,0.6488197950057627,-0.1208215257673353
CDW,1.7525998850912323,0.163629602007209
CE,0.774467400642525,-0.4197228065658851
CF,-0.45577423068977563,-0.1623455471733609
CFG,0.8181416522311348,-1.4524183593170623
CHD,0.049878245307897355,0.6925733563333797
CHTR,1.2938944866308302,-1.1789037776723985
CI,1.7916363576623051,0.9408397203846895
CL,6.238035436076381,-14.02089675833789
CLX,2.8815751138052628,-2.010789337543185
CMCSA,0.09143705419469447,0.17491551425695331
CME,-0.6160950240866235,-2.30793821535603
CMG,1.2536993831975456,1.2748729186517114
CMI,0.5376502897473238,0.7788694379390687
CMS,0.545810804454691,-0.41723215419586224
CNK,-3.8144689555740507,-5.947016372023197
COF,0.9331487260081945,-0.8698974319262118
COO,-0.4393736616607732,1.4781786721420322
COP,-0.2455511390260412,0.8274610571501202
COST,2.9026982010943354,3.1298597946680986
COTY,0.5580118858981412,0.26283640018116383
CPB,0.8360032694551189,0.15242060536405697
CPRI,0.6669327943795258,-3.1566922286242094
CRL,0.3746144682031122,0.857374719728229
CRM,-0.6946747372090979,0.6785192614979008
CROX,1.0292077593055613,0.5518270882323325
CRUS,-1.6813163422583404,1.9126878281472313
CRWD,-0.8732167216096604,-0.3786483248231338
CSCO,-0.43170867517936634,0.07985777356060028
CSX,0.07118418233859955,-0.16423793119238544
CTRA,-0.858708364655763,0.8764699337972819
CTSH,-0.313981956209887,1.9368221109289572
CVS,1.6934257884300516,0.9861724058401486
CVX,-0.0412886191500323,1.3057690958233625
CWK,1.5769042517721013,0.6179491346747482
CZR,1.441810852633241,-0.9931717761445038
