ticker,TSNE1,TSNE2
ORCL,-7.8344874,16.327944
OTIS,-15.935268,13.745805
OXY,1.0693543,-1.0500638
PANW,6.174836,0.09253328
PAYC,5.426697,4.214785
PAYX,11.301487,5.0614
PCAR,-1.7701596,-6.01679
PCG,-0.027310146,12.881095
PCTY,4.889713,3.5449817
PENN,-5.9177504,15.339446
PEP,-7.8055587,9.998604
PFE,0.36551717,-2.5885491
PFG,-7.082926,24.706991
PG,5.6409416,-6.300768
PH,5.2747,-7.1122727
PHM,-0.611607,-13.162028
PKG,-5.837136,-6.3718405
PL,21.616245,-3.95247
PLD,15.623645,-12.502731
PM,-11.702246,17.152428
PNC,-2.3372266,20.169735
PODD,-1.9797677,-8.275371
POOL,-15.250743,-2.173902
PPG,-7.1227593,-0.22147076
PRGO,13.290935,2.194723
PRU,-7.792378,25.112963
PSA,16.178719,-10.8194685
PSX,-16.690672,0.82486135
PVH,-4.9649506,-2.6580315
PYPL,-1.9224308,8.721096
QBTS,24.981441,-6.9000344
QCOM,8.289706,-3.584645
QSR,-4.292837,15.061683
RARE,23.164799,-4.3224196
RBLX,-9.345566,21.950996
RCL,10.708338,5.155988
RDW,18.501171,-6.754855
REGN,10.743243,-19.083696
RF,-0.79896736,20.754084
RGTI,25.74096,-7.6267114
RH,-9.250265,23.91092
RHP,-4.7309375,15.872529
RJF,-3.3824217,15.8841715
RKLB,10.741388,-19.46571
RKT,24.57957,2.148606
RL,-10.307729,-2.3087113
RLI,2.5404937,7.8146763
RMD,9.385087,-14.44579
RNG,-15.386546,12.637245
ROK,-6.8189125,0.6762518
ROP,4.861949,-15.504372
ROST,-15.253932,-3.6591094
RPM,-9.216364,-1.8106054
RRC,7.1768546,-11.740684
RSG,-0.7829029,4.6853776
RTX,-3.006307,-1.4856164
SAIC,-14.829357,1.5673063
SBUX,-15.023158,13.326162
SCHW,-1.897728,20.937239
SERV,25.323172,-8.030305
SFM,-17.993505,-1.1902696
SHEN,0.3099006,-1.6247956
SHW,-8.474096,10.831253
SIG,-11.834915,2.3610682
SIRI,-0.33515614,-2.5252738
SITE,-12.937001,-0.48821756
SITM,8.147838,-20.658344
SJM,-0.2553564,5.109386
SLB,-0.3003097,-8.023791
SLDP,24.61566,-7.5376987
SM,11.518574,-11.218258
SMR,25.56967,-8.18079
SNA,1.0327965,-13.514792
SNOW,8.6869,0.49087456
SPB,-4.5041037,-16.001715
SPCE,26.311777,-7.7963185
SPG,21.431126,-2.0407834
STE,2.0083451,-15.917885
STLD,-5.173234,-12.172598
STT,-4.631571,22.86338
STX,-11.042785,21.202724
SUI,0.117474005,-19.186424
SWK,-4.4134464,-3.189328
SYF,-2.2050364,17.52875
SYK,1.1034886,-8.511197
T,1.8554705,8.653857
TEAM,7.446804,1.2111893
TFC,-1.3452797,20.261894
TFX,13.887665,0.9944807
TGT,-16.419899,2.152703
TJX,-16.722986,-3.2252195
TKO,-1.0159467,-19.992653
TMO,2.1140795,-9.608947
TMUS,-0.81556875,9.388409
TOL,1.0810314,-11.174584
TPR,-10.667823,9.795318
TREX,0.24480626,-13.296554
TRMB,5.364631,-18.030954
TRV,-1.4763962,10.726776
TSLA,-2.9249904,-17.31425
TT,4.806396,-5.045162
TTWO,18.454542,-0.6357506
TXN,11.131457,-5.324539
U,10.865433,-20.556366
UBER,-4.127295,-4.703402
UDR,5.204345,9.196004
UEC,19.741568,-6.7370596
UNH,-14.228683,2.2000809
UNM,-2.2486782,14.240164
UNP,11.274629,4.7524424
UPS,-11.884246,6.135573
URBN,-5.0637274,-11.700566
URG,20.211557,-3.5211976
USB,-3.1933818,20.380283
USEG,19.589705,-3.6390426
UUUU,20.337484,-6.1850853
V,17.390621,-3.1623495
VFC,-10.39985,9.339801
VLO,-17.729834,1.1684526
VOYA,-7.1755557,25.458483
VRTX,9.2634535,-13.567025
VSAT,0.5867457,9.454552
VTR,-0.3862929,-1.4103245
VZ,-0.5148148,10.181405
WAT,6.685872,-7.7112727
WBD,-1.6533675,0.54228127
WDC,5.890404,-5.7035484
WDFC,11.956235,-2.5466335
WEC,1.0774897,12.554949
WELL,0.75390893,-19.100748
WFC,-1.9064894,21.934307
WHD,1.024348,-14.338559
WM,-3.8755314,10.003048
WMT,-18.832079,0.68492687
WRB,-1.5225167,11.525908
WSM,-16.692286,-4.9673305
WWW,-11.526667,5.288219
WY,-1.5460082,-18.182537
WYNN,-8.8442745,24.447348
XEL,1.1143878,10.657641
XOM,-2.1586905,-14.8574295
XYL,2.1134682,-16.58275
YUM,-16.469927,14.2431965
Z,6.601269,-21.078703
ZBH,-0.40646732,-17.829199
ZM,10.259302,-15.667344
ZS,5.1198177,0.75687474
ZTS,13.875767,3.2599266
