ticker,PC1,PC2
GNRC,-0.5976623816079981,-0.9260737375163883
GO,-0.994500387557929,-0.38234455275520896
GOOGL,1.1767853573004325,-1.0686731823592381
GPN,-0.16330922280393287,-0.6688038554313014
GS,2.7336862357812914,3.142614717582133
GSAT,0.26594878413104867,0.7812699928245538
GTLS,-1.0199898000037442,-0.5971550124192583
GWW,-0.31833382168664576,-0.43099135634190283
HAL,-0.6490684821715863,-0.7163047416963041
HBAN,1.8199135291791204,1.9838325527196945
HCA,-1.0885869164049657,1.3730113703964506
HD,-1.0306084159452455,1.0682972822512573
HIG,-0.6624961773710853,0.12734479138006344
HII,-0.8534692791128726,-0.5128873406531935
HLT,-1.1864303531457054,1.1927396324471893
HON,-0.6000967984681503,0.3626855767123515
HPE,-0.8930532915356371,-0.5351981603703654
HPQ,-1.930318001212462,3.9392936493593003
HRL,-0.6302043443087888,-1.2673865547456837
HSIC,-0.9918998882812079,-0.6681582545969387
HST,-0.2068185775062213,-0.8881757225371002
HSY,-0.6523083098341703,-0.39330457609623387
HUBB,-0.1005197162353241,-0.6568127929336728
HUN,-0.7447968564456292,-0.7376890492528327
IBM,-0.2128441585316916,0.2824644569090598
IBP,-0.5478243443369043,-0.2963520524440081
ICE,-0.3157496087327661,0.27460335439881434
IDXX,1.1156330872993911,-0.15198443867498165
IEX,-0.026745794684525676,-1.0428499009445076
IFF,-0.4838602035239854,-1.1770957176734838
ILMN,0.6875653177920706,-0.2890328922226277
IMAX,-0.36636158841048333,-0.7648953848131557
INCY,1.959222760543892,-0.9828475074831677
INTC,0.04174296171447899,-1.0835493715758673
IONQ,6.086318368362285,0.5162011662788182
IP,-0.3241809219919553,-0.46620088243911256
IQV,-0.8646026716149662,0.07708905611738995
IR,-0.3760158684955341,-1.1047913300777368
IRM,-1.864915380752618,2.503445807616639
ISRG,1.3336855612687455,-1.4711801413804133
ITW,-0.07552888489968027,0.6514697158499321
JAZZ,-0.5400049047305916,-0.5350775686830851
JJSF,-0.48746478588784337,-1.5310899802934794
JLL,-0.9932320970518116,-0.8208000271574195
JNJ,0.3581038432668107,-0.2773031063758029
JPM,-0.3727629951692768,1.7272859846749649
KEY,-0.7323180150250882,1.045932948455285
KLAC,1.099944277743911,0.5126860799391487
KMB,-0.9177395407515508,1.6791552187757461
KO,0.07551147778980619,0.034620826737641754
KR,-2.120668253063089,0.6158718917282989
KSS,-1.1943010096291902,-0.44965955903630767
KTOS,-0.392452295386135,-1.8817944953278014
LAZ,-0.9638338804433594,0.27525647194394776
LDOS,-0.5592420158278921,-0.42322479746240743
LEA,-1.2330307758517292,-0.5830713103986581
LEN,-0.48323293367640924,-1.3544720599399496
LII,-0.07319935232362472,0.16768110887426216
LIN,0.0537521962217882,-0.5885792973256734
LMT,-1.239718978428064,1.0343518482237348
LNC,-1.8590908243511126,2.5448068015559167
LOW,-1.3376144663823564,1.2671269651572785
LPLA,-1.0041518312506068,-0.309132790292589
LRCX,1.2111092442566913,-0.14675549688676082
LUMN,-1.3169345638562424,2.997951193885897
LUNR,0.31892979443973873,-0.17723681649914758
LVS,-1.0525359967356283,1.9082926178167943
LYFT,1.5417902646758146,0.42526014880547613
LYV,-2.152759291326478,2.85052462592711
M,-1.1697541810141656,-0.3954354476239839
MA,1.0351042877806942,1.6834525214173481
MAA,0.0712023666507367,-0.7269329233146872
MAR,-0.9459950987001141,0.8044796808919268
MAS,-1.4180640938136277,3.609141455763735
MCD,-0.5449056861172117,3.8955229656403385
MCK,-3.032780103496915,2.7921806122246347
MDB,0.4600973687321284,-1.6578840415140066
MDLZ,-0.7301601860736843,-0.5563646946450609
MET,-1.7586999965463408,2.541764584210401
META,1.7416497556495198,-0.566537278437834
MGM,-1.8082218146139994,1.9766978414784269
MHK,-0.6113937249994816,-1.339499318619556
MKC,-0.3648466049301111,-0.6859654077253075
MKTX,0.7172029885381678,-0.7967222260612332
MMI,-0.6894873885278014,-1.7222003969247062
MMM,-0.8960481945723415,0.9477982458756615
MNTS,10.741230239908834,2.9405110522793465
MO,-0.13240242196390192,2.358348566130864
MOS,-0.6985490232690023,-1.0128840634417144
MP,0.7328526060229317,-0.8766148647074814
MPC,-1.2482825105716,-0.12940387277359794
MRK,0.9737574347658827,-0.10437744061948612
MRNA,6.056072821459435,0.2567564896177716
MS,1.7930599512535856,2.5846469138416577
MSFT,1.3189845341045154,-0.49217366782905814
MTB,2.0876417758981463,1.7009533499034482
MTD,-0.7376725253150962,9.768138858036554
MTDR,0.272548137189275,-0.6363487889880588
MU,0.8265477809710208,-1.0061432904335852
NCLH,-1.3587342562375677,1.0647343309629649
NCMI,-0.3590607335620172,-1.7293250686043358
NDAQ,-0.09404763605463896,-0.4424970933720656
NEE,-0.11725159208731675,-0.049200550961764636
NEM,0.7803648558566936,-0.7744290000992262
NET,-0.2501860518664,-0.013800608145341346
NFLX,0.724219283738943,-0.38555907344413126
NKE,-0.7284976617841458,-0.4684805183029852
NNN,0.735766918072433,-0.4396544667179318
NOC,-0.6013840920900757,-0.3035200769463203
NOV,-0.7449906814027274,-1.2330347812832017
NOVT,-0.010877892228013452,-1.5328037068821727
NOW,0.5382255235775709,-0.7015194010176529
NSC,-0.03923831044623868,-0.22802873715615418
NTAP,-0.274314087517541,1.6015975303989365
NTRA,0.6002327463631884,-1.3341757585100213
NTRS,-0.7546299592294385,1.8322309150222231
NUE,-0.48499388239182334,-1.3165977320143614
NVDA,3.594083568115985,-0.09700367501472278
NVR,0.2971373025802457,-1.0164794550279033
NYT,0.344961604965432,-1.2170074857511097
O,0.17714083402170705,-0.9276114256971212
OC,-0.8351876143496975,-0.32096271573357926
OKTA,0.4823872800091529,-1.4389141779064802
ONTO,0.692054829278365,-1.7735871016837021
OPEN,1.8581827177944898,0.5261094444018445
ORCL,-0.028679637934729184,1.1588646835262395
OTIS,-1.3922289406517048,1.4470169861871733
OXY,-0.271280927859574,-0.66303138084611
PANW,0.2156717533355695,-0.22679033192039064
PAYC,0.08822528642093205,0.2836414952840464
PAYX,0.08196301452079781,0.2868201586019756
PCAR,-0.48905903442136034,-0.7227641962579362
PCG,-0.6832189253626159,0.02640532469679272
PCTY,-0.2840283643285408,0.0378352211050714
PENN,-0.9896469189488692,0.815524537559417
PEP,-0.8619125927662303,0.31369994135043305
PFE,-0.42499970719454183,-0.6547562670448753
PFG,-1.633572015483535,2.5851023241872895
PG,0.03667363610371565,-0.41785573632877027
PH,0.0574123437568931,-0.5871196613366386
PHM,0.11247686785137063,-1.351757387144719
PKG,-0.4927858336755892,-0.6734803300692815
PL,2.584586710670229,1.7242477247846117
PLD,0.6491102482143515,-0.8188703041869072
PM,-0.24295899349577887,1.7288416118349241
PNC,-0.6793807468333476,1.1555419567214706
PODD,-0.06814425599278678,-0.744687349508433
POOL,-0.7142996785113847,-0.2946097555801644
PPG,-0.4785201915622104,-0.4494496014304421
PRGO,0.43909927607767996,0.030229455535661507
PRU,-1.7886538038787787,2.515433344809928
PSA,0.7396175570255382,-0.376663087711278
PSX,-1.0385118693198598,-0.735312707263626
PVH,-1.0573669416439815,-0.8540236817750586
PYPL,-0.49621609837234526,0.034416823927273806
QBTS,8.366874543815925,0.35964727795113244
QCOM,0.4034209837809197,-0.4316742138145947
QSR,-0.8664871870676469,0.5091638975605882
RARE,4.575841035449801,5.7064008952940215
RBLX,-0.036909334144297624,3.4810479958278178
RCL,-0.06112029815598784,0.2695938288580679
RDW,2.195049636636082,-0.8316006938646514
REGN,1.9857293041259465,-1.1101434700199362
RF,-0.15924392854234756,1.1269954419959873
RGTI,9.336688826449569,0.9156072040379997
RH,-1.9440071761559172,2.940310979948473
RHP,-0.9537448826410337,0.6785568742738324
RJF,-0.9354741981596348,0.6104616309915061
RKLB,1.9640541389500505,-1.064841050429352
RKT,3.575979689220926,0.6869536898557157
RL,-0.43171682055805677,-0.39281899455303904
RLI,-0.1927956652762101,-0.04208574564547145
RMD,1.0807861238647378,-1.0771693729133418
RNG,-1.4521455442704811,0.7888296134105203
ROK,-0.31481150358913906,-0.2633785254797962
ROP,0.3734776965826018,-0.9602746208508474
ROST,-0.419377283227984,-0.45860615448952846
RPM,-0.5224842522174948,-0.45864110151839277
RRC,0.3012573114008115,-0.915632490090177
RSG,-0.47804657539966616,-0.3894832667470947
RTX,-0.5746988243564531,-0.613848818245076
SAIC,-1.004609127080185,-0.23085085185505325
SBUX,-1.580489319568857,1.0180627955034347
SCHW,-0.39672545690201255,1.3494386197433976
SERV,9.28079816190973,0.48792583693209596
SFM,-0.8438325353640969,-0.33920486226123114
SHEN,-0.4334500272017407,-0.8360445755422318
SHW,-0.7680373791900864,0.47911728703743656
SIG,-0.9560237263471021,-0.4600584819587844
SIRI,-0.4115878202301547,-0.7034996299413917
SITE,-0.801117529940986,-1.068409553718147
SITM,1.2296965424061308,-1.749409817327099
SJM,-0.4249598433856426,-0.35515429914508223
SLB,-0.32464391713603746,-0.8614802814987709
SLDP,7.865431625203781,0.15169272818813584
SM,0.3233773732180082,-0.7345332791771247
SMR,8.979814993646231,0.8436189126829897
