ticker,revenue,net_income,total_assets,total_liabilities,operating_cash_flow,rd_expense,stockholders_equity
META,200966.0,60458.0,366021.0,148778.0,115800.0,57372.0,217243.0
MGM,17537.683,205.862,41373.786,38097.468,2529.378,,2429.917
MHK,10785.4,369.9,13687.3,5308.6,1056.2,,8373.3
MKC,6840.3,789.4,13200.4,7432.3,962.2,106.1,5736.5
MKTX,846.268,246.627,1934.886,776.627,382.139,,1145.667
MMI,755.156,1.909,827.18,224.077,66.657,,603.103
MMM,24948.0,3250.0,37733.0,32986.0,2306.0,,4702.0
MNTS,1.11,30.468,40.319,23.179,23.275,9.19,17.14
MO,23279.0,6947.0,35017.0,38469.0,9290.0,195.0,3502.0
MOS,12052.4,540.7,24480.1,12395.2,824.8,,12084.9
MP,224.441,85.874,3864.16,1471.792,155.755,,1978.757
MPC,132699.0,4047.0,83955.0,59869.0,8253.0,,17314.0
MRK,65011.0,18254.0,136866.0,84260.0,16472.0,15789.0,52606.0
MRNA,1944.0,2822.0,12338.0,3688.0,1873.0,3132.0,8650.0
MS,10046.0,16861.0,1420270.0,1307618.0,17889.0,,111632.0
MSFT,281724.0,101832.0,619003.0,275524.0,136162.0,32488.0,343479.0
MTB,1657.0,2851.0,213510.0,184333.0,3003.0,,29177.0
MTD,4026.399,869.193,3712.646,3736.282,955.772,199.373,23.636
MTDR,3696.277,759.221,11710.569,6052.428,2425.015,,5658.141
MU,37378.0,8539.0,82798.0,28633.0,17525.0,3798.0,54165.0
NCLH,9827.592,423.246,22541.401,20331.513,2089.746,,2209.888
NCMI,243.2,10.6,490.6,115.2,8.4,3.1,375.4
NDAQ,8262.0,1788.0,31053.0,18821.0,2255.0,,12227.0
NEE,27412.0,6835.0,212721.0,146242.0,12485.0,,54608.0
NEM,22669.0,7085.0,57121.0,23079.0,10334.0,166.0,33867.0
NET,2167.937,102.267,6036.256,4577.133,603.114,512.489,1459.123
NFLX,45183.036,10981.201,55596.993,28981.505,10149.273,3391.39,26615.488
NKE,46309.0,3219.0,36579.0,23366.0,3698.0,,13213.0
NNE,,40.067076,228.656866,6.088138,19.621963,15.446513,222.568728
NNN,926.213,389.777,9379.355,4971.053,667.131,,4408.302
NOC,41954.0,4182.0,51377.0,34703.0,4757.0,1.1,16674.0
NOV,8744.0,145.0,11291.0,4969.0,1251.0,,6268.0
NOVT,980.6,72.878,1807.106,492.819,64.056,95.484,1314.287
NOW,13278.0,1748.0,26038.0,13074.0,5444.0,2960.0,12964.0
NSC,12180.0,2873.0,45236.0,29689.0,4361.0,,15547.0
NTAP,6572.0,1186.0,10823.0,9783.0,1506.0,1012.0,1040.0
NTRA,2306.113,208.16,2398.344,685.931,215.301,624.11,1712.413
NTRS,8086.4,1736.9,177132.7,164174.8,5533.5,,12957.9
NUE,32494.0,1744.0,35104.0,12980.0,3234.0,,20936.0
NVDA,215938.0,120067.0,206803.0,49510.0,102718.0,18497.0,157293.0
NVR,10323.959,1339.816,5856.93,1992.061,1121.32,,3864.869
NYT,2824.918,343.981,2997.09,955.727,584.489,264.347,2041.363
O,5749.377,1058.59,72795.612,32671.644,3994.754,,39438.695
OC,10103.0,522.0,12980.0,9087.0,1786.0,150.0,3853.0
OKLO,,105.663,1528.457,52.247,82.174,58.852,1476.21
OKTA,2919.0,235.0,9710.0,2711.0,884.0,639.0,6999.0
ONTO,1005.263,136.759,2367.741,267.094,328.315,131.978,2100.647
OPEN,4371.0,1300.0,2407.0,1402.0,1049.0,79.0,1005.0
ORCL,57399.0,12443.0,168361.0,147910.0,20821.0,9860.0,20451.0
OTIS,14431.0,1384.0,10653.0,15924.0,1596.0,152.0,5392.0
OXY,21593.0,2369.0,84186.0,48152.0,10532.0,,36034.0
PANW,9221.5,1133.9,23576.2,15751.8,3716.0,1984.1,7824.4
PAYC,2051.7,453.4,7598.7,5867.2,678.9,283.4,1731.5
PAYX,5571.7,1657.3,16564.1,12436.1,1900.9,,4128.0
PCAR,28444.8,2375.8,44336.2,25072.2,4415.8,445.5,19264.0
PCG,24935.0,2703.0,141611.0,109071.0,8716.0,,32540.0
PCTY,1174.598,140.822,4245.46,3212.396,282.723,163.994,1033.064
PCVX,,766.628,3002.717,317.207,655.577,794.306,2685.51
PENN,6961.0,843.1,14268.5,12441.0,508.2,,1834.0
PEP,93925.0,8240.0,107399.0,86852.0,12087.0,839.0,20406.0
PFE,62579.0,7771.0,208160.0,121385.0,11704.0,,86476.0
PFG,15625.5,1185.1,341376.5,328985.2,4536.7,,11883.9
PG,84284.0,15974.0,125231.0,72946.0,17817.0,2.1,52284.0
PH,19850.0,3532.0,29494.0,15803.0,3776.0,240.0,13682.0
PHM,17311.953,2218.73,18048.423,5062.981,1871.249,,12985.442
PKG,8989.3,774.1,10725.5,6127.5,1557.5,,4598.0
PL,307.727,246.86,1145.686,957.255,134.362,106.749,188.431
PLD,8790.127,3328.231,98724.256,40970.248,5008.434,,53193.178
PM,40648.0,11348.0,69185.0,77213.0,12233.0,756.0,9994.0
PNC,23099.0,6997.0,573572.0,512936.0,4384.0,,60585.0
PODD,2708.1,247.1,3190.4,1675.2,569.3,301.1,1515.2
POOL,5289.396,406.404,3626.126,2440.897,365.85,,1185.229
PPG,15875.0,1576.0,22098.0,14001.0,1941.0,446.0,7941.0
PRGO,4253.1,1425.4,8535.2,5599.7,238.5,95.4,2935.5
PRU,60774.0,3576.0,773740.0,738159.0,6271.0,,32438.0
PSA,4824.113,1784.348,20208.604,10866.77,3186.449,,9248.128
PSX,132376.0,4403.0,73680.0,43439.0,4962.0,6.0,29093.0
PVH,8950.2,25.3,11681.0,6888.7,680.4,,4792.3
PYPL,33172.0,5233.0,80173.0,59917.0,6416.0,,20256.0
QBTS,24.587,355.062,915.813,63.583,71.982,50.734,852.23
QCOM,44284.0,5541.0,50143.0,28937.0,14012.0,9042.0,21206.0
QS,,435.05,1308.156,139.183,242.473,375.608,1168.973
QSR,9434.0,1075.0,25615.0,20456.0,1714.0,,3634.0
RARE,673.0,575.0,1532.0,1605.0,466.0,750.0,80.0
RBLX,4890.551,1065.057,9557.118,9182.138,1796.358,1567.747,394.484
RCL,17935.0,4268.0,41619.0,31374.0,6465.0,,10037.0
