ticker,profit_margin,debt_ratio,roe,asset_turnover,ocf_margin,rd_intensity,roa,equity_multiplier
AUR,272.0,0.08664105847204438,0.3813084112149533,0.0012804097311139564,193.66666666666666,248.33333333333334,0.34827144686299616,1.094859813084112
AVB,0.3054616908796422,0.4667337805277608,0.07999292071371608,0.1370181249331689,0.5495745258121008,0.0,0.041853788123243835,1.9112468500620943
AVGO,0.3619828760154648,0.5248638159586655,0.2844806377011268,0.37340728964533704,0.4310266564402774,0.1718189929093556,0.13516704463095877,2.1046597451163707
AVY,0.07769182993619785,0.7452651192383289,0.3068551804112216,1.0061124555483598,0.0995313646886116,0.015425441815820676,0.0781667177931536,3.9256500602114093
AWI,0.1904615004935834,0.5320309658648101,0.3427334295547907,0.8421052631578947,0.21933613030602173,0.010118460019743336,0.16038863199459655,2.136893527256578
AXON,0.04484777315350476,0.5367838552361873,0.03844253695579367,0.39705881722717257,0.07603391357406415,0.246195048382176,0.017807203763603143,2.15881940062751
AXP,0.2622748402091807,0.8884393371815552,0.32362430543108084,0.13765613960246892,0.4461553360449351,0.0,0.0361037420180502,8.963733046543586
BA,0.024982394956574228,0.9675632300056468,0.4097909790979098,0.5317740065979136,0.011904362697427987,0.04040776633915697,0.013284988260468986,30.846167950128347
BAC,0.2697595869032777,0.9111177353008936,0.10060908248500378,0.033149380169286154,0.11152373626179297,0.0,0.008942363100566338,11.25083843650142
BAH,0.07804674457429048,0.862828227571116,0.9322033898305084,1.6384026258205688,0.08422370617696161,0.0,0.12787199124726478,7.290129611166501
BALL,0.069523592432186,0.722341733251383,0.16878804648588822,0.6740934234787953,0.09588937010865435,0.0,0.04686539643515673,3.6015495296070834
BAX,0.08511205976520811,0.6957367240089753,0.1561429270680372,0.5606581899775617,0.07515119174670935,0.04606901458555674,0.04771877337322363,3.272148800783162
BBWI,0.08901385269510355,0.7472874334188203,0.5066354410616706,1.4383507595186427,0.1511452475654917,0.0,0.12803314263168278,3.957064793130367
BDX,0.07683150183150184,0.5410754631721645,0.06608901142181961,0.3947582467239042,0.15705128205128205,0.057921245421245424,0.0303298689561681,2.1790074832611266
BIIB,0.13072007764948537,0.3798535980570322,0.0708174488409798,0.3359635863380832,0.22289850969607505,0.0,0.04391718609351382,1.6125224573857413
BILL,0.01627204168005634,0.6110843600475439,0.006080418186835086,0.14532716771552254,0.23974510621713835,0.23250784577832176,0.002364769730311521,2.571251699011763
BJ,0.02695482194056896,0.7073874821499305,0.2631786824070522,2.856979618466209,0.048004979570098236,0.0,0.0770093769035913,3.417488791482209
BK,0.27634462151394423,0.9051280965488038,0.125222846568727,0.042515350412873174,0.3351593625498008,0.0,0.011748888418378149,10.658271838963735
BKR,0.09331842930804457,0.5392969839289645,0.1374110650950409,0.678383601183924,0.13738145891176576,0.021634875419175713,0.06330569213081871,2.170595731124562
BLDR,0.028649158777926245,0.6127039482875686,0.09999400310322176,1.351777303375386,0.08004179942935905,0.0,0.038727282596798404,2.5820041169500563
BLK,0.22931119920713577,0.6379839762820739,0.09935943315201833,0.14244873469099636,0.16216551040634292,0.0,0.0326650901775315,3.041762095619811
BMY,0.14636676764742498,0.7944756658299829,0.38185459860336707,0.5352628890024212,0.29372950989749763,0.20647798481138732,0.07834469890490682,4.874032371569317
BOOT,0.06521969652937473,0.4617895370549882,0.1114741069695205,0.9199142883381122,0.13528042348700609,0.0,0.059996530718447405,1.8580092154436032
BSX,0.14406695227657668,0.44512627939459165,0.11934139396690463,0.45964325784809834,0.2258643020822955,0.0,0.0662194032926522,1.8022118598605208
BWA,0.01934898016205644,0.5922724961870869,0.05090040426313855,1.0397269227975887,0.11511595417714446,0.049594858899133835,0.020117655603166532,2.530135979419331
BWXT,0.10284593198214746,0.7113394724797759,0.26689531005195183,0.7487835055408002,0.1500263410897551,0.004335571414055355,0.07700933748020307,3.465752579946076
CACI,0.05793233612553988,0.5497079073287172,0.1283608268735177,0.9977133534653208,0.06340057469878847,0.0,0.05779986534989254,2.220780724946038
CAG,0.09923532653623589,0.5732902134814822,0.1290091461708106,0.5547365756022528,0.14569268393496831,0.005235602094240838,0.05504946522148286,2.34351315951504
CAH,0.007013271751925168,0.947648808403298,0.5613088816972313,4.189940137796016,0.010769258417273945,0.0,0.02938518881066225,19.10176195613089
CARR,0.06823929737435049,0.6201129335842969,0.105039637599094,0.5847539661199247,0.11555616866694257,0.028739596266151652,0.03990319978488841,2.632361268403171
CASY,0.0342841391818617,0.5725366033967836,0.15576272490715853,1.942089404660118,0.0684311468255335,0.0,0.06658286345298642,2.3393815890351615
CAT,0.13141191614020034,0.7837602069280316,0.416643212308847,0.6855911142668762,0.17368210803533118,0.03178031928272352,0.09009484201450525,4.624495731306877
CB,0.1735631796909195,0.7070470427096835,0.1397833425979907,0.21812747175270905,0.21575031143732534,0.0,0.03785889757534141,3.6922190436161992
CBOE,0.23333757583471215,0.4478093129721772,0.2140785863028628,0.5066145100104242,0.37177039582537863,0.0,0.11821220164852289,1.810968608294572
CBRE,0.028532675709001233,0.6882469151795835,0.1303221446271683,1.3132752534248793,0.03844636251541307,0.0,0.037471256922628496,3.4779229556206355
CCI,0.10412757973733583,1.0518751189796307,0.27155963302752295,0.13528777206675552,0.7169324577861164,0.0,0.0140871882733676,19.277064220183487
CCL,0.10367365336939373,0.7623386925145588,0.22468251383914034,0.5150618143827268,0.2335662234242356,0.0,0.053398340008125836,4.207668511885379
